Location,Entity,
	TA-3,	BB211,
	TA-3,	BB212,
	TA-3,	BB213,
	TA-3,	BB214,
	TA-3,	BB215,
	TA-3,	BB216,
	TA-3,	BB217,
	TA-3,	BB218,
	TA-3,	BB219,
	TA-3,	BB220,
	TA-3,	BB221,
	TA-3,	BB222,
	TA-3,	BB223,
	TA-3,	BB224,
	TA-3,	BB225,
	TA-3,	BB226,
	TA-3,	BB227,
	TA-3,	BB228,
	TA-3,	BB229,
	TA-3,	BB230,
	TA-3,	BB231,
	TA-3,	BB232,
	TA-3,	BB233,
	TA-3,	BB234,
	TA-3,	BB235,
	TA-1,	BB441,
	TA-1,	BB442,
	TA-1,	BB443,
	TA-1,	BB444,
	TA-1,	BB445,
	TA-1,	BB446,
	TA-1,	BB447,
	TA-1,	BB448,
	TA-1,	BB449,
	TA-1,	BB450,
	TA-1,	BB451,
	TA-1,	BB452,
	TA-1,	BB453,
	TA-1,	BB454,
	TA-1,	BB455,
	TA-1,	BB456,
	TA-1,	BB457,
	TA-1,	BB458,
	TA-1,	BB459,
	TA-1,	BB460,
	TA-1,	BB461,
	TA-1,	BB462,
	TA-1,	BB463,
	TA-1,	BB465,
	TA-1,	BB466,
	TA-1,	BB467,
	TA-1,	BB468,
	TA-1,	BB469,
	TA-1,	BB470,
	TA-1,	BB471,
	TA-1,	BB472,
	TA-1,	BB473,
	TA-1,	BB474,
	TA-1,	BB475,
	TA-1,	BB476,
	TA-1,	BB477,
	TA-1,	BB478,
	TA-1,	BB479,
	TA-1,	BB480,
	TA-1,	BB481,
	TA-1,	BB482,
	TA-1,	BB483,
	TA-1,	BB484,
	TA-1,	BB485,
	TA-1,	BB486,
	TA-1,	BB487,
	TA-1,	BB488,
	TA-1,	BB489,
	TA-1,	BB490,
	TA-1,	BB496,
	TA-1,	BB497,
	TA-1,	BB498,
	TA-1,	BB499,
	TA-1,	BB500,
	TA-1,	BB501,
	TA-1,	BB502,
	TA-1,	BB503,
	TA-1,	BB504,
	TA-1,	BB505,
	TA-1,	BB506,
	TA-1,	BB507,
	TA-1,	BB508,
	TA-1,	BB509,
	TA-1,	BB510,
	TA-1,	BB511,
	TA-1,	BB512,
