code_flag,gw_part_no,serialn_no,op_id,trans_date,trans_time,mc_no,area,roll_length,no_208,item_208,date_208,roll_weight,roll_weight_old,roll_length_inch,roll_length_old,roll_length_inch_old,roll_weight_dif,roll_length_dif,roll_length_inch_dif,transaction,txt_trans_date,txt_trans_time,trans_ways,assy_lot,oper,cimes_hist_seq,cimes_ent_hist_seq,die_count,die_count_old,die_count_dif,cimes_transaction,
A  ,1091A06T21               ,S21X0953-3787  ,15511     ,20220108,22324,BBR75     ,TA,0.000,2021070150,2,20211231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,STATUS    ,20220108,22324,M,            ,0,0,0,0,0,0,          ,
A  ,1091A08T41               ,S21Y0533-5785  ,23096     ,20220108,53008,BBU48     ,TA,0.000,2021063740,2,20211127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,STATUS    ,20220108,53008,M,            ,0,0,0,0,0,0,          ,
A  ,1091A07C21               ,R217051-0017   ,15511     ,20220108,64012,BBR70     ,TA,0.000,2021066445,1,20211213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,STATUS    ,20220108,64012,M,            ,0,0,0,0,0,0,          ,
O  ,1091A06C41               ,N221A051-0012  ,26153     ,20220103,185549,BBS02     ,TB,396.098,2021062897,1,20211123,0.000,0.000,1299.201,518.140,1699.499,0.000,-122.042,-400.298,USE       ,20220108,105904,A,P52NVSG19   ,2200,19,0,1534,0,1534,MVOU      ,
O  ,1091A06C41               ,N221C062-0028  ,26153     ,20220104,15734,BBS09     ,TB,1107.235,2021067061,1,20211216,0.000,0.000,3631.732,1228.845,4030.610,0.000,-121.610,-398.878,USE       ,20220108,111838,A,P52NVSG20   ,2200,20,0,1553,0,1553,MVOU      ,
O  ,1091A06C41               ,N221C062-0025  ,19129     ,20220108,85301,BBS10     ,TB,2140.893,2021067061,1,20211216,0.000,0.000,7022.130,2171.989,7124.123,0.000,-31.096,-101.993,USE       ,20220108,123854,A,P52NVSG04   ,2200,20,0,1498,1143,355,MVOU      ,
O  ,1091A06C41               ,N221C062-0026  ,19129     ,20220105,103205,BBS01     ,TB,467.904,2021067061,1,20211216,0.000,0.000,1534.726,596.831,1957.606,0.000,-128.927,-422.880,USE       ,20220108,124333,A,P52NVSG08   ,2200,20,0,1448,0,1448,MVOU      ,
O  ,1091A06T21               ,S2191317-2446  ,S6120     ,20211230,103014,BBU64     ,TA,1100.668,2021067631,1,20211220,0.000,0.000,3610.191,1188.257,3897.483,0.000,-87.589,-287.292,USE       ,20220108,124441,A,P53MSLL02   ,2200,13,0,1932,542,1390,MVOU      ,
R  ,1091A06C21               ,R213021-0015   ,S0778     ,20220108,152701,BBR28     ,TA,1652.717,2021069088,1,20211225,0.000,0.000,5420.913,1652.717,5420.913,0.000,0.000,0.000,RETURN    ,20220108,152701,M,            ,0,0,0,0,0,0,          ,
N  ,1091A06T21               ,S21X1171-4365  ,25745     ,20220108,160049,          ,TB,3000.000,2022001191,1,20220108,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220108,160049,M,,0,0,0,0,0,0,,
N  ,1091A06T21               ,S21X1171-4366  ,25745     ,20220108,160049,          ,TB,3000.000,2022001191,1,20220108,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220108,160049,M,,0,0,0,0,0,0,,
N  ,1091A06T21               ,S21X1171-4367  ,25745     ,20220108,160049,          ,TB,3000.000,2022001191,1,20220108,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220108,160049,M,,0,0,0,0,0,0,,
N  ,1091A06T21               ,S21X1171-4368  ,25745     ,20220108,160049,          ,TB,3000.000,2022001191,1,20220108,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220108,160049,M,,0,0,0,0,0,0,,
N  ,1091A06T21               ,S21X1171-4369  ,25745     ,20220108,160049,          ,TB,3000.000,2022001191,1,20220108,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220108,160049,M,,0,0,0,0,0,0,,
N  ,1091A06T21               ,S21X1171-4375  ,25745     ,20220108,160049,          ,TB,3000.000,2022001191,1,20220108,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220108,160049,M,,0,0,0,0,0,0,,
