ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB211,0,UTC3000,IDLE,,,,,,AAW024XJ6011B,,,22-01-14 06:45,,,,,,,,3000M,TA-A20,01/25/2022 MP,2200,,,R02AWGH01,STBGA24A4L,MXIC,AAW024XJ6011B,1091A07T41,,311.0338,276.2758,
BB212,5471,UTC3000,RUNNING,R02BUA603,,2200,084UCBU006,IS46DR16320D-25DBLA2,ABU084CC2004B,5600,19346,22-01-14 12:10,22-01-15 03:28,ICSI,FBGA-84UC(2),BTH717000Y3,,365.9533,,3000M,TA-A19,,2200,,,R02BUA702,FBGA-84UC(2),ICSI,ABU084CC2004B,1091A07C21,,365.9533,325.058,2022-01-15 03:28:28
BB213,0,UTC3000,IDLE,,,,,,AAW024XJ6010B,,,22-01-14 00:53,,,,,,,,3000M,TA-A19,,3200,,,R02AWFP02,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,,342.7166,304.418,
BB214,0,UTC3000,SETUP,R02AWCH08,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,34000,22-01-14 15:23,22-01-14 15:53,MXIC,TSOP1-48/M2,T1214266,CC,77.5263,,3000M,TA-A19,,2200,1091A08T41,,R02AWBG06,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,2022-01-14 13:46:21
BB215,5589,UTC3000,RUNNING,R02BUA602,,2200,084UCBU006,IS46DR16320D-25DBLA2,ABU084CC2004B,5568,19346,22-01-14 13:50,22-01-15 05:03,ICSI,FBGA-84UC(2),BTH717000Y3,,365.9533,,3000M,TA-A19,,2200,,,R02BUAV03,FBGA-84UC(2),ICSI,ABU084CC2004B,1091A07C21,,365.9533,325.058,2022-01-15 05:03:14
BB216,4180,UTC3000,IDLE,,,,,,AAW024XJ6010B,,,22-01-14 13:43,,,,,,,,3000M,TA-A19,,3200,,,R02AWGC01,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,,342.7166,304.418,
BB217,0,UTC3000,RUNNING,R03MSI701,,2200,096ECMS010,V00H TW1 X16 9FA552{A},AMS096EC3001B,5560,41283,22-01-13 18:43,22-01-14 15:02,MTI,FBGA-96UEC,589652K.00K,,273.6119,,2000M,TA-A20,,2200,1091A06T21,,R02MSHW03,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,,273.6119,243.0358,2022-01-14 15:02:25
BB218,5495,UTC3000,RUNNING,R02MSCZ02,,2200,078EPMS004,Z32D1JC8CMS3712{ZDT-S},AMS078EP1001A,5920,21872,22-01-14 12:11,22-01-15 09:44,MTI,FBGA-78UEP,583976K.00K,,274.7358,,1000M,TA-A20,,2200,1091A06T21,,R02MSAN04,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,,274.7358,244.034,2022-01-15 09:44:45
BB219,0,UTC3000,ENG,,,,,,AAW056TH1015A,,,22-01-14 12:42,22-01-14 12:42,,,,PE,,,3000M,TA-A20,,2200,,,R03AWAK03,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,,,,
BB220,0,UTC3000,RUNNING,R02MSB401,,2200,078EPMS004,Z32D1JC8CMS3712{ZDT-S},AMS078EP1001A,5680,21325,22-01-14 02:37,22-01-14 23:18,MTI,FBGA-78UEP,582322K.00K,,274.7358,,3000M,TA-A20,,2200,1091A06T21,,R02MSAP02,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,,274.7358,244.034,2022-01-14 23:18:35
BB221,0,UTC3000,RUNNING,R02BUA501,,2200,084UCBU006,IS46DR16320D-3DBLA2,ABU084CC2004B,5552,8289,22-01-14 03:32,22-01-14 18:43,ICSI,FBGA-84UC(2),BTH717000Y1,,365.9533,,3000M,TA-A20,,2200,1091A07C21,E,P53OKA113,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,,365.9533,325.058,2022-01-14 18:43:09
BB222,0,UTC3000,WAIT-SETUP,,,,,,AAW024XJ6011B,,,22-01-14 15:07,,,,,EC,,,3000M,TA-A20,,3200,,,R02AWGG03,STBGA24A4L,MXIC,AAW024XJ6011B,1091A07T41,,311.0338,276.2758,
BB223,3443,UTC3000,IDLE,,,,,,AAW024XJ6010B,,,22-01-14 08:52,,,,,,,,3000M,TA-A20,,3200,,,R02AWFP03,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,,342.7166,304.418,
BB224,720,UTC3000,RUNNING,R02AWCH10,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,34000,22-01-14 09:32,22-01-14 18:49,MXIC,TSOP1-48/M2,T1214266,,77.5263,,3000M,TA-A20,,2200,1091A08T41,,R02AWCH04,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,2022-01-14 18:49:14
BB225,0,UTC3000,RUNNING,R02BUA701,,2200,084UCBU006,IS46DR16320D-3DBLA1-AS,ABU084CC2004B,5553,11024,22-01-14 05:59,22-01-14 21:10,ICSI,FBGA-84UC(2),BTH717000Y4,,365.9533,,3000M,TA-A12,01/14/2022 MP,2200,1091A07C21,E,R02BUAV01,FBGA-84UC(2),ICSI,ABU084CC2004B,1091A07C21,,365.9533,325.058,2022-01-14 21:10:22
BB226,4260,UTC3000,IDLE,,,,,,AAW024XJ6010B,,,22-01-14 08:03,,,,,,,,3000M,TA-A20,01/15/2022 MP,2200,,,R03AWAK02,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,,342.7166,304.418,
BB227,0,UTC3000,ENG,,,,,,AAW056TH1015A,,,22-01-14 14:13,22-01-14 14:13,,,,PE,,,3000M,TA-A20,01/16/2022 MP,2200,,,R03AWAQ03,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,,,,
