bd_id,da_out,da_act
ABW032YB1004B,0.00,0.00
ANI008Y71001C,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI016OF2003A,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ACD008DR1035A,0.00,0.00
ACD054TN1001A,0.00,0.00
BU048MA2009B,12.54,0.00
ABU060C91003A,0.00,0.00
ABU096EA1001A,0.00,0.00
ABU165ML3013A,0.00,0.00
AMS048TW1048A,0.00,0.00
AMS096EC3001B,0.00,0.00
ALW078C93001A,0.00,0.00
,0.00,0.00
ANV0086A1042A,0.00,0.00
ANV0086A1058A,0.00,0.00
ANV132X2B031A,0.00,0.00
ANV153XT9070A,0.00,0.00
AAB008YQ2001B,84.46,8.64
AAB008YQ2004A,0.00,0.00
AAB024XW3001A,0.00,0.00
AAB084CC9001A,0.00,0.00
AYZ066TS1001A,76.80,0.00
ACS054TN1006A,0.00,0.00
ACS054TS1012A,0.00,0.00
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI009YZ1001A,0.00,0.00
ANI010YK3001A,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
AHQ0442J3005A,0.00,0.00
AAB008YQ3013A,0.00,0.00
AHQ0282D3001A,0.00,0.00
ABU078EA4001A,0.00,0.00
AAS008YQ2001B,0.00,0.00
AAS008YQ2016A,0.00,0.00
AAS096EI2001A,0.00,0.00
BU048MA4005B,0.00,0.00
BU048MA2009B,0.00,0.00
ABU048MA7002A,0.00,0.00
BU048MW2005C,0.00,0.00
ABU096EF2001A,0.00,0.00
ABU024MAA007A,0.00,0.00
ABU048MA3002A,0.00,0.00
ABU100X69003A,14.93,0.00
AMS078EP1001A,9.10,0.00
AMS078C93001B,0.00,0.00
AMS090NC4003A,0.00,0.00
ENG,0.00,0.00
AAW016D53004A,0.00,0.00
,0.00,0.00
,0.00,0.00
ANV0086A1065A,0.00,0.00
ANV0086A1069A,0.00,0.00
ANV0086A1078A,0.00,0.00
ANV0086A1081A,0.00,0.00
ANV132X2B031A,0.00,0.00
ANV319UK1002A,0.00,0.00
ANV345XTG002A,0.00,0.00
ANV345XTC011A,0.00,0.00
AAB008YQ2038A,0.00,0.00
AAB008YQ3013A,0.00,0.00
ACS054TS1009A,0.00,0.00
,0.00,0.00
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008YK3002A,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ACD054TN1008A,0.00,0.00
ACD054TN1002B,0.00,0.00
AAS008FG1009A,0.00,0.00
AVE048XV7001A,0.00,0.00
BU048MW2002C,0.00,0.00
AMS048TW1048A,0.00,0.00
ENG,0.00,0.00
AAW024MA6008A,0.00,0.00
AAW024XJ6011B,22.81,0.00
ANV345XTB016A,0.00,0.00
ANV0086A1070A,0.00,0.00
ANV0086A1081A,0.00,0.00
ANV0086A1081A,0.00,0.00
ANV132X2C081A,0.00,0.00
ANV345XTG001A,0.00,0.00
AEU0086B1009A,0.00,0.00
AAB008YB2005A,20.61,0.00
AAB008YB2011A,0.00,0.00
AAB008YM2018A,1126.76,32.00
AAB096EF3001A,0.00,0.00
AYZ096EF2003A,22.50,0.00
AGJ252X02001A,0.00,0.00
ABW064AE1008A,0.00,0.00
,0.00,0.00
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008Y71001C,0.00,0.00
ANI009YZ1001A,0.00,0.00
ANI016OF2003A,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
AYU096EL2001A,0.00,0.00
AHQ0282D3001A,0.00,0.00
AHQ0225N1001A,0.00,0.00
,0.00,0.00
AAB008YQ3004A,0.00,0.00
ACD054TN1003A,0.00,0.00
AAS048MAB006A,0.00,0.00
ASS153XT3001A,28.27,0.00
ABU054MF6001A,0.00,0.00
ABU078EA1001A,0.00,0.00
ABU084XU2001B,0.00,0.00
,0.00,0.00
AMS048TW1037A,0.00,0.00
AMS048TW1046A,0.00,0.00
AMS078EN1001A,0.00,3.56
,0.00,0.00
AAW016D53011A,0.00,0.00
AAW024XJ6010B,37.17,0.00
AAW024XW3013A,0.00,0.00
,0.00,0.00
ANV0086A1032A,0.00,0.00
ANV0086A1069A,0.00,0.00
ANV132X2C044A,0.00,0.00
ANV345XTB029A,0.00,0.00
ANV345XTA010A,0.00,0.00
AB084CC2001A,0.00,0.00
AAB178NN2001A,83.79,0.00
ANI008OK2001A,0.00,0.00
ANI020YU1001M,0.00,0.00
AHQ0345V1001A,0.00,0.00
ABW048LF1018A,0.00,0.00
AMS078EN1001A,0.00,0.00
ACD096EL1002A,0.00,0.00
AAS084CC2011A,0.00,0.00
AAS153XT9016B,0.00,0.00
AVE008YD2002A,0.00,0.00
ABU054NB2004C,0.00,0.00
ABU060MV4003A,0.00,0.00
ABU134KM3002A,0.00,0.00
ABU024XJ6003A,0.00,0.00
ABU153XT9001A,0.00,0.00
AOK048TV1029A,0.00,0.00
AMS078EN1001A,0.00,0.00
AMS096EC3001B,0.00,0.00
,0.00,0.00
,0.00,0.00
AAW008YQ3004A,0.00,0.00
AAW024MA6036A,0.00,0.00
AAW048TP1041B,392.35,0.00
ANV0086A1065A,0.00,0.00
ANV153XT9078A,0.00,0.00
ANV153XT9069A,0.00,0.00
ACR137M82001B,0.00,0.00
AAB008YD2007A,0.00,0.00
AAB084CC9002A,0.00,0.00
AAB096EL1003A,0.00,5.92
ABW032YB1005B,0.00,0.00
,0.00,0.00
ANI008YZ1001D,152.08,0.00
ANI016OF2003A,105.77,11.75
ANI020YU1005C,0.00,0.00
AHQ0223R1001B,0.00,0.00
AHQ0415L1003B,0.00,0.00
AAS008FG1010A,0.00,0.00
AAS084CC2007A,0.00,0.00
AAS096EL1002A,0.00,0.00
AAS096EL1001A,0.00,0.00
AAS162KE1008A,0.00,0.00
AVE008YD2001A,0.00,0.00
AVE048XZ3002C,0.00,0.00
AVE054TS1001E,0.00,0.00
ABU064RK1007A,0.00,0.00
ABU153XT9002A,0.00,0.00
AMS048TW1050A,0.00,0.00
AMS048TW1057A,0.00,0.00
ALW078EP1001A,0.00,0.00
AAW024MA6024A,0.00,0.00
AAW048TP1043B,0.00,0.00
,0.00,0.00
ANV0086A1078A,0.00,0.00
ARK078EP1001B,0.00,0.00
AEU0086B1003A,0.00,0.00
AAB008YD2003A,0.00,0.00
AAB008YM2019A,53.42,0.00
AAB008YQ2036A,10.82,4.32
AAB048TW2002A,0.00,0.00
AAB063NW3008A,0.00,0.00
ABW048AC1006A,28.88,0.00
,0.00,0.00
ANI008Y71001C,131.27,0.00
ANI008YZ1001D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANV345XTA010A,0.00,0.00
AAS008DR1006A,0.00,0.00
AAS008DR1006A,28.52,0.00
AAS054TS1001B,0.00,0.00
GA048MA2012A,0.00,0.00
ASS153XT3001A,0.00,0.00
ABU024MA6002B,0.00,0.00
BU054MF1002A,0.00,0.00
ABU096EF5001A,0.00,0.00
ABU008Y62011A,0.00,0.00
ABU024XJ8004A,0.00,0.00
ABU024XW3005A,0.00,0.00
AOK016D54001A,0.00,0.00
AMS048TW1058A,0.00,0.00
AMS048TW1036A,0.00,0.00
AMS096EC1002A,17.51,5.59
AAW024MAA006A,0.00,0.00
AAW063XM5002A,0.00,0.00
ANV0086A1065A,0.00,0.00
ANV132X2C034A,0.00,0.00
ANV132X2A023A,0.00,0.00
ADY060CD4002A,0.00,0.00
AEU0086B1007A,0.00,0.00
AAB008YB2007A,22.19,0.00
AAB008YQ2003A,0.00,0.00
AAB008YQ2004A,0.00,0.00
AAB008YQ2026A,0.00,0.00
AAB008YQ2019A,0.00,0.00
AAB008YQ2022A,0.00,0.00
AAB054TN1005A,0.00,0.00
ABW048AC1009A,0.00,0.00
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008YZ1001D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
AHQ0225S1001B,0.00,0.00
AHQ0282J2006B,0.00,0.00
AAW016D53011A,0.00,0.00
AAW063XM5002A,0.00,0.00
AAS096EL4005A,0.00,0.00
ANV132X2B031A,0.00,0.00
ASS153XT9007A,0.00,0.00
ACD054MF6001A,0.00,0.00
ACD054TN1001A,36.06,0.00
AOK036RP1001A,0.00,0.00
AMS096EF2001A,97.70,0.00
ENG,0.00,0.00
AAW008Y62016A,0.00,0.00
AAW024MA6006C,0.00,0.00
AAW024MA6013C,81.39,0.00
AAW048TP1008B,0.00,0.00
ANV0086A1055A,0.00,0.00
ANV0086A1073A,0.00,0.00
ANV048TR2042A,0.00,0.00
ANV132X2C025A,5.67,0.00
ANV319UK1001A,0.00,0.00
ADY060CD4001A,0.00,0.00
AAB008YB2003A,44.67,0.00
AAB008YM2025A,0.00,0.00
AAB024MA6020A,0.00,0.00
AAB054TN1005A,0.00,0.00
AAB054TN1004A,32.26,0.00
AAB096EL1002A,0.00,0.00
ABW036AB1004A,50.58,3.20
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008YZ1001D,0.00,0.00
ANI008YZ1001D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI016OF2001B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
AHQ0442J3008A,0.00,0.00
AMS048TW1055A,0.00,0.00
ACD054MF2004A,0.00,0.00
ACD054TN1008A,0.00,0.00
ACD054TN1008A,0.00,0.00
AAS084CC2010A,0.00,0.00
AGA048MA7001A,0.00,0.00
BU048MW2003B,0.00,0.00
ABU048TP2003B,0.00,0.00
ABU084CC2004B,0.00,0.00
AMS048TW1053A,0.00,0.00
AMS048TW1065A,0.00,0.00
ALW078C93002A,0.00,0.00
AAW024XJ6014A,0.00,0.00
AAW048TP1024D,60.65,2.16
AAW048TP1034C,0.00,0.00
,0.00,0.00
TDANV153XT8028A-A,0.00,0.00
ANV132X2C057A,0.00,0.00
ANV132X2C090A,0.00,0.00
ANV345XTA010A,0.00,0.00
AUK012DN2003A,34.07,0.00
AUL086TA1003A,0.00,0.00
AAB008YB2008A,0.00,0.00
AAB008YQ2039B,0.00,0.00
AAB024MA5014A,0.00,0.00
AAB024XJ6009A,0.00,0.00
AB054NB2002A,36.89,0.00
ABW048AC1007A,35.39,0.00
ABW064AE1011A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI010YK3001A,319.55,10.74
ANI012Y32001B,0.00,0.00
ANI014OA1001C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
AHQ0442J3003A,0.00,0.00
AHQ0442J3006A,0.00,0.00
,0.00,0.00
AAS008FG1034A,0.00,0.00
ACM008YQ2005A,0.00,0.00
AMS078EN1006A,0.00,0.00
AQT192X85001B,0.00,0.00
ACD054MF2003A,0.00,0.00
ACD096EF2001B,0.00,0.00
AAS048MAB008A,0.00,0.00
AGA134N91003A,0.00,0.00
CU048MA2012A,0.00,0.00
ABU048MA7003A,0.00,0.00
ABU096EF2002A,0.00,0.00
ABU100X69005A,0.00,0.00
AOK040TB1010A,0.00,0.00
AMS060NR1003A,0.00,0.00
ALW132NY4049A,0.00,0.00
ENG,0.00,0.00
ENG,0.00,0.00
AAW008Y62015A,0.00,0.00
AAW008YM2004A,0.00,0.00
AAW016D53011A,0.00,0.00
AAW024MA6022C,0.00,0.00
,0.00,0.00
AAB008Y62014A,0.00,0.00
AAB008YM2023A,33.81,0.00
AAB008YQ2005A,0.00,0.00
AAB008YQ2032A,0.00,0.00
AAB008YQ2039B,0.00,0.00
AAB048TW2006A,0.00,0.00
AAB060EM2001A,0.00,0.00
AAB063NW3007A,0.00,0.00
AAB096EL1019A,0.00,0.00
AAB162KE1006A,0.00,0.00
ABW048AC1008A,0.00,0.00
ANI010YK3001A,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
,0.00,0.00
AHQ0282D3001A,0.00,0.00
AHQ0343A1001A,0.00,0.00
ACD054TN1008A,0.00,0.00
AVF056YI3001A,0.00,0.00
ANV132X2B031A,0.00,0.00
ACD008DR1034A,0.00,0.00
ACD008DR1035A,0.00,0.00
ACD084CC2004B,0.00,0.00
AAS008YQ2002B,43.46,0.00
AAS048N01003A,0.00,0.00
ABU054NO2008B,0.00,0.00
AAW008Y62014A,0.00,0.00
AAW024MA6029D,0.00,0.00
AAW024MAA002B,0.00,0.00
AAW024XJB001A,0.00,0.00
AAW048TP1042C,0.00,0.00
ANV0086A1071A,0.00,0.00
ANV0086B1006A,0.00,0.00
ANV153XT9071A,0.00,0.00
AAB008YQ3012A,0.00,0.00
AYZ096EI1002A,0.00,0.00
