route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive,package_id,CR,super_hot_run_code,last_WB_entity,wlot_last_trans,WB_move_in_entity
BGA140,R03DYA201,ProMOS,FBGA60LCD(2),060CDDY028,4080,0,2090,N,N,ADY060CD4002A,,7,N2A07-4,,V58C2512164SHAZXJ,68.33,N,DA,2022/2/8 02:25,
BGA140,R03DYA203,ProMOS,FBGA60LCD(2),060CDDY028,4120,0,2150,N,N,ADY060CD4002A,,7,N2A07-2,,V58C2512164SHAZXJ,68.33,N,DA,2022/2/4 05:28,
BGA140,R03DYA207,ProMOS,FBGA60LCD(2),060CDDY028,1882,0,2150,N,N,ADY060CD4002A,,7,N2A07-2,,V58C2512164SHAZXJ,68.33,N,DA,2022/2/4 14:24,
BGA140,R03DYA204,ProMOS,FBGA60LCD(2),060CDDY028,4120,0,2150,N,N,ADY060CD4002A,,7,N2A07-2,,V58C2512164SHAZXJ,68.33,N,DA,2022/2/4 08:51,
BGA140,R03DYA205,ProMOS,FBGA60LCD(2),060CDDY028,4120,0,2150,N,N,ADY060CD4002A,,7,N2A07-2,,V58C2512164SHAZXJ,68.33,N,DA,2022/2/4 09:18,
BGA140,R03DYA202,ProMOS,FBGA60LCD(2),060CDDY028,4104,0,2150,N,N,ADY060CD4002A,,7,N2A10-5,,V58C2512164SHAZXJ,68.33,N,DA,2022/2/4 05:28,
BGA140,R03DYA206,ProMOS,FBGA60LCD(2),060CDDY028,4137,0,2150,N,N,ADY060CD4002A,,7,N2A07-4,,V58C2512164SHAZXJ,68.33,N,DA,2022/2/4 11:35,
BGA140,R03DYA106,ProMOS,FBGA60LCD(2),060CDDY027,1842,0,2200,N,Y,ADY060CD4001A,,6,,,V58C2512804SHAZXJ,68.33,N,DA,2022/2/7 13:56,BB547
BGA140,R05YUA108,DOSILICO,FBGA-96UEL-2,096ELYU001,3000,0,2230,N,N,AYU096EL2001A,P,13,,,GY71J88XGI-2VKF-D-SA,70.09,N,BBB02,2022/2/8 06:06,
BGA140,R05YUA111,DOSILICO,FBGA-96UEL-2,096ELYU001,2926,0,2230,N,N,AYU096EL2001A,P,13,,,GY71J88XGI-2VKF-D-SA,70.09,N,BB779,2022/2/8 06:08,
BGA140,R05YUA112,DOSILICO,FBGA-96UEL-2,096ELYU001,2923,0,2230,N,N,AYU096EL2001A,P,13,,,GY71J88XGI-2VKF-D-SA,70.09,N,BB709,2022/2/8 06:05,
BGA140,R05YUA107,DOSILICO,FBGA-96UEL-2,096ELYU001,2984,0,2230,N,N,AYU096EL2001A,P,13,,,GY71J88XGI-2VKF-D-SA,70.09,N,BB709,2022/2/7 17:49,
BGA140,R05YUA113,DOSILICO,FBGA-96UEL-2,096ELYU001,1028,0,2230,N,N,AYU096EL2001A,P,13,,,GY71J88XGI-2VKF-D-SA,70.09,N,BB779,2022/2/7 17:49,
BGA140,R03DYA101,ProMOS,FBGA60LCD(2),060CDDY027,4160,0,2250,N,N,ADY060CD4001A,,6,,,V58C2512804SHAZXJ,68.33,N,BB547,2022/2/5 08:19,
