code_flag,gw_part_no,roll_length
A,1091A06T21,0.000
A,1091A06T21,0.000
A,1091A06T21,0.000
R,1091A09C41,2342.051
A,1091A08T41,0.000
R,1091A09C41,1040.650
A,1091A06T21,0.000
A,1091A08T41,0.000
A,1091A07C21,0.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
A,1091A06T21,0.000
A,1091A06T21,0.000
A,1091A06T21,1021.763
R,1091A09C41,2201.822
R,1091A09C41,2741.596
A,1091A08T41,0.000
A,1091A06T21,0.000
F,1091A08T41,0.000
A,1091A07C21,0.000
A,1091A07C21,0.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
A,1091A06C21,0.000
A,1091A07T21,1423.270
F,1091A08T21,0.000
A,1091A07C21,0.131
F,1091A08T21,0.000
R,1091A08T21,2866.457
R,1091A08T21,2709.445
F,1091A08T21,0.000
A,1091A06T21,0.000
A,1091A07T41,0.000
R,1091A08T21,1618.141
R,1091A08T21,1972.614
A,1091A07C41,247.074
R,1091A08T21,2542.765
R,1091A08T21,3000.000
N,1091A07T41,3000.000
N,1091A07T41,3000.000
N,1091A07T41,3000.000
N,1091A07T41,3000.000
N,1091A07T41,3000.000
N,1091A07T41,3000.000
N,1091A07T41,3000.000
N,1091A07T41,3000.000
N,1091A07T41,3000.000
N,1091A07T41,3000.000
N,1091A07T41,3000.000
N,1091A07T41,3000.000
N,1091A08T21,3000.000
N,1091A08T21,3000.000
N,1091A08T21,3000.000
N,1091A08T21,3000.000
N,1091A08T21,3000.000
N,1091A08T21,3000.000
N,1091A08T21,3000.000
N,1091A08T21,3000.000
N,1091A08T21,3000.000
N,1091A08T21,3000.000
N,1091A08T21,3000.000
N,1091A08T21,3000.000
R,1091A08T21,932.369
A,1091A08T41,527.285
A,1091A08C41,0.000
O,1091A06T21,499.281
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
R,1091A08T21,2514.034
R,1091A08T21,1622.136
O,1091A06T21,0.305
A,1091A08T41,0.000
R,1091A07T41,3000.000
R,1091A07T41,2742.083
R,1091A07T41,1201.461
A,1091A06T21,0.000
R,1091A07T41,1963.795
R,1091A07T41,374.511
R,1091A07T41,320.390
R,1091A07T41,1139.926
R,1091A07T41,2650.905
A,1091A06T21,0.000
R,1091A07T41,2910.457
A,1091A07T21,312.461
A,1091A08T41,0.000
A,1091A07T21,1479.258
R,1091A07T41,1016.702
F,1091A09C41,4.449
R,1091A07T41,286.763
R,1091A07T41,2848.480
A,1091A06T21,0.000
A,1091A08T41,0.000
A,1091A07C41,0.000
R,1091A07T41,1305.285
A,1091A07T21,435.023
A,1091A06T21,0.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A08T41,3000.000
N,1091A08T41,3000.000
N,1091A08T41,3000.000
N,1091A08T41,3000.000
N,1091A08T41,3000.000
N,1091A08C41,3000.000
N,1091A08C41,3000.000
N,1091A08C41,3000.000
N,1091A08C41,3000.000
N,1091A08C41,3000.000
N,1091A08C41,3000.000
N,1091A08C41,3000.000
N,1091A08C41,3000.000
N,1091A08C41,3000.000
N,1091A08C41,3000.000
N,1091A08C41,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
A,1091A07C21,0.000
A,1091A08T41,0.000
A,1091A06T21,0.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
