product,process_id,bom_id
000IAVT001,000IA081,IA000026
000SNV149,153XT081,XT153113
000IABW072,000IA143,IA000060
000IABW108,000IA220,IA000097
000IABW112,000IA232,IA000112
014OANI049,014OA002,OA014603
000IABW045,000IA089,IA000031
014OLNI032,014OL001,OL014602
014OLNI034,014OL001,OL014602
012Y3NI153,012Y3002,Y3012603
020YUNI150,020YU001,YU020603
012Y1NI054,012Y1002,Y1012604
020YUNI135,020YU001,YU020603
012Y1NI055,012Y1002,Y1012604
012Y3NI159,012Y3001,Y3012604
008OKNI067,008OK001,OK008601
000IABW142,000IA317,IA000140
000IABW020,000IA040,IA000015
008OKNI036,008OK001,OK008601
020YUNI189,020YU002,YU020604
020YUNI187,020YU002,YU020604
008OKNI084,008OK001,OK008601
020YUNI219,020YU002,YU020604
020YUNI228,020YU001,YU020603
000IABW032,000IA033,IA000013
020YUNI115,020YU002,YU020604
020YUNI254,020YU002,YU020604
020YUNI221,020YU002,YU020604
014OLNI042,014OL001,OL014602
020YUNI170,020YU002,YU020604
020YUNI263,020YU002,YU020604
020YUNI267,020YU001,YU020603
012Y3NI149,012Y3002,Y3012603
014OANI060,014OA002,OA014603
008OKNI091,008OK001,OK008601
016OFNI032,016OF001,OF016604
008Y7NI031,008Y7001,Y7008602
008OKNI059,008OK001,OK008601
008YZNI040,008YZ006,YZ008004
020YUNI217,020YU002,YU020604
000IABW123,000IA259,IA000121
020YUNI201,020YU002,YU020604
0008WNV501,0008WA401,8W000A01
020YUNI119,020YU002,YU020604
008OKNI039,008OK001,OK008601
014OLNI029,014OL001,OL014602
008OKNI052,008OK001,OK008601
010YKNI052,010YK031,YK010634
020YUNI299,020YU002,YU020604
020YUNI179,020YU002,YU020604
020YUNI151,020YU001,YU020603
020YUNI122,020YU002,YU020604
012Y3NI154,012Y3001,Y3012604
016D5AW020,016D5015ENG,D5016050
000IABW064,000IA125,IA000050
020YUNI305,020YU002,YU020604
020YUNI146,020YU002,YU020604
020YUNI317,020YU001,YU020603
000IAQR011,000IA179,IA000083
000IABW109,000IA313,IA000025
020YUNI043,020YU006,YU020611
020YUNI160,020YU006,YU020611
020YUNI175,020YU002,YU020604
020YUNI307,020YU002,YU020604
020YUNI331,020YU002,YU020604
012DNUK014,012DN020,DN012025
0282JHQ034,0282J028,2J028035
000IABW094,000IA193,IA000090
012Y3NI198,012Y3002,Y3012603
014OLNI046,014OL001,OL014602
000IABW074,000IA147,IA000064
0086ANV162,0086A138,6A008191
008OKNI077,008OK001,OK008601
0008WNV486,132X2313,X2132375
000IAXI001,000IA119,IA000038
000IABW075,000IA149,IA000065
000IABW143,000IA325,IA000122
