¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
1,	STBGA252G4V ,	AGJ252X02001A       ,	252X0GJ004               ,	15.08,	0.00,	0.00,	0.00,	0.00,	0.00,
2,	WLCSP       ,	ENG                 ,	000IABW020               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
3,	WLCSP       ,	ENG                 ,	000IABW032               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
4,	WLCSP       ,	ENG                 ,	000IABW040               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
5,	WLCSP       ,	                    ,	000IABW045               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
6,	WLCSP       ,	                    ,	000IABW053               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
7,	WLCSP       ,	                    ,	000IABW094               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
8,	WLCSP       ,	ENG                 ,	000IABW109               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
9,	WLCSP       ,	                    ,	000IABW144               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
10,	QFN-32YF1A  ,	ABW032YF1006B       ,	032YFBW029               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
11,	QFN-48AC1   ,	ABW048AC1013A       ,	048ACBW047               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
12,	SSBGA24A3L  ,	AQW024MA6002A       ,	024MAQW007               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
13,	TSOP1-48/48M,	AKX048TP2001A       ,	048TPKX002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
14,	TSOP2-54CMES,	ACS054TS1009A       ,	054TSCS017               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
15,	MAT         ,	,	0008WDAE001              ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
16,	MAT         ,	,	0008WDAF001              ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
17,	MAT         ,	,	0008WLF001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
18,	MAT         ,	,	0008WSMT001              ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
