assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	PE0MSH402  ,	2,	2460,	2021/10/2 下午 04:57:30,	WSM       ,	Y,	5065,	PE0MSH402  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	568454K.00K                                       ,	5600,	0,	5065,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1234449                  ,	N,	N,	0,	0,	20211005,	35321,	2021/10/2 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2021/10/14 上午 12:00:00,	2021/10/20 上午 12:00:00,	2021/10/23 上午 12:00:00,	2021/10/23 上午 12:00:00,	2021/10/23 上午 12:00:00,	,	,	 C Q D C H                                                                      ,	                    ,	0,	Y3,	     ,	MS09    ,	1081G771S1               ,	,	,	                                   ,	PE0MSH4,	PE0MSH402  ,	2,	2460,	2021/10/2 下午 04:57:30,	WSM       ,	Y,
	PF1MSEC02  ,	2,	2460,	2021/12/17 下午 04:12:28,	WSM       ,	Y,	5065,	PF1MSEC02  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	531661L.00L                                       ,	6000,	0,	5065,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1293662                  ,	N,	N,	0,	0,	20211220,	222001,	2021/12/16 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2021/12/26 上午 12:00:00,	2021/12/31 上午 12:00:00,	2022/1/5 上午 12:00:00,	2022/1/5 上午 12:00:00,	2022/1/10 上午 12:00:00,	,	,	 A E B A C                                                                      ,	                    ,	0,	Y3,	     ,	MS36    ,	1081G771S1               ,	,	,	                                   ,	PF1MSEC,	PF1MSEC02  ,	2,	2460,	2021/12/17 下午 04:12:28,	WSM       ,	Y,
	PXXASQD    ,	,	2000,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2000,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2003,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2003,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2005,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2005,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2010,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2010,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2020,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2020,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2030,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2030,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2040,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2040,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2050,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2050,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2056,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2056,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
