bom_id,ver,reg_date,item,oper,part_id,qty,tole,reason,supp,remark,
	IA000064  ,	 A,	2018/5/29 上午 12:00:00,	1,	3720,	1011CA273A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000074  ,	 A,	2018/12/4 上午 12:00:00,	1,	2021,	1071F28502               ,	0.059,	14.000,	,	          ,	                                        ,
	IA000074  ,	 A,	2018/12/4 上午 12:00:00,	2,	3720,	1011CA278A               ,	0.008,	0.800,	,	          ,	,
	IA000060  ,	 A,	2018/5/9 上午 12:00:00,	1,	3720,	1011CA265A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000097  ,	 B,	2019/12/10 上午 12:00:00,	1,	3720,	1011CA308A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000112  ,	 A,	2020/2/21 上午 12:00:00,	1,	3720,	1011CA312A               ,	0.008,	0.800,	,	          ,	                                        ,
	Y3012603  ,	 B,	2021/11/5 上午 12:00:00,	1,	2300,	10819240H5               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	Y3012603  ,	 B,	2021/11/5 上午 12:00:00,	2,	2070,	120100153A               ,	0.000,	3.400,	0.152     ,	          ,	6/4 15改用 HDS L/F                      ,
	Y3012603  ,	 B,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA295A               ,	0.014,	0.800,	,	          ,	                                        ,
	Y3012603  ,	 B,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	1,	2070,	120100167A               ,	0.000,	3.400,	0.152     ,	          ,	                                        ,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	2,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA296A               ,	0.014,	0.800,	,	          ,	20190408004變更Carrier                  ,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	YU020603  ,	 A,	2020/12/11 上午 12:00:00,	1,	2070,	1071F76004               ,	0.000,	14.000,	,	          ,	                                        ,
	YU020603  ,	 A,	2020/12/11 上午 12:00:00,	2,	2200,	1091A08T41               ,	0.000,	0.150,	20        ,	          ,	0.8 AU                                  ,
	YU020603  ,	 A,	2020/12/11 上午 12:00:00,	3,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	PJ指示用92HF;1230BALLSN0000A            ,
	YU020603  ,	 A,	2020/12/11 上午 12:00:00,	4,	2070,	120100185B               ,	0.000,	3.400,	0.152     ,	          ,	改版                                    ,
	YU020603  ,	 A,	2020/12/11 上午 12:00:00,	5,	3720,	1011CA176A               ,	0.014,	0.800,	,	          ,	,
