process_id,Oper,master_desc,detail_desc,detail_id,remark,
	0008W364       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800;DB-700                           ,
	0008W364       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800;DB-700                           ,
	0008W364       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800;DB-700                           ,
	0008W364       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	4320                                    ,
	0008W364       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	L                                       ,
	0008W364       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W364       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W374       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	960                                     ,
	0008W374       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	M                                       ,
	0008W374       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W374       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W376ENG    ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1280                                    ,
	0008W376ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W376ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W878       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2880                                    ,
	0008W878       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	O                                       ,
	0008W878       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W878       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W879       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2880                                    ,
	0008W879       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	W                                       ,
	0008W879       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W879       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W918       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1600                                    ,
	0008W918       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W918       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA109      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	950                                     ,
	0008WA109      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	I                                       ,
	0008WA109      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA109      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA188      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	720                                     ,
	0008WA188      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	H                                       ,
	0008WA188      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA188      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA189      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	720                                     ,
	0008WA189      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	H                                       ,
	0008WA189      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA189      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA190      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	720                                     ,
	0008WA190      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	I                                       ,
	0008WA202      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1900                                    ,
	0008WA202      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	O                                       ,
	0008WA202      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA202      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA401      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	950                                     ,
	0008WA401      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	I                                       ,
	0008WA98       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	900                                     ,
	0008WA98       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	H                                       ,
	0008WA98       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA98       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA99       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	900                                     ,
	0008WA99       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	H                                       ,
	0008WA99       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA99       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA10      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2400                                    ,
	0008WAA10      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WAA10      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA10      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA13      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	3520                                    ,
	0008WAA13      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WAA13      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA13      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA9       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2400                                    ,
	0008WAA9       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WAA9       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA9       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WDAE001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WDAF001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WE54ENG    ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	720                                     ,
	0008WE54ENG    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	I                                       ,
