¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
1,	ABU096EF5001A       ,	3200,	UTC2000     ,	20220214-F-ABU096EF5001A-3200-Criteria  ,	20220214,	15036,
2,	ABU096EF5001A       ,	2200,	UTC2000     ,	20220214-F-ABU096EF5001A-2200-Criteria  ,	20220214,	15036,
3,	ALW048TW1060A       ,	2200,	UTC1000S    ,	ALW048TW1060A-2200-Criteria             ,	20210207,	234538,
4,	ALW048TW1060A       ,	2200,	UTC2000     ,	ALW048TW1060A-2200-Criteria             ,	20210207,	234538,
5,	AAW024XJ6011B       ,	2200,	UTC2000     ,	AAW024XJ6011B-2200-Criteria             ,	20220123,	2449,
6,	AAW024XJ6011B       ,	2200,	UTC3000     ,	AAW024XJ6011B-2200-Criteria             ,	20220123,	2449,
7,	AAW024XJ6011B       ,	3200,	UTC2000     ,	AAW024XJ6011B-3200-Criteria             ,	20220123,	2449,
8,	AAW024XJ6011B       ,	3200,	UTC3000     ,	AAW024XJ6011B-3200-Criteria             ,	20220123,	2449,
9,	ABU144C71005A       ,	2200,	UTC2000     ,	ABU144C71005A-2200-Criteria             ,	20220123,	171458,
10,	AAB008YM2020A-A     ,	2200,	MAXUM-PLUS  ,	20190515-A-AAB008YM2020A-A-2200-Criteria,	20220216,	174021,
11,	AAB008YM2020A-A     ,	2200,	MAXUM       ,	20190515-A-AAB008YM2020A-A-2200-Criteria,	20220216,	174021,
12,	ABU100X69002A       ,	2200,	UTC2000     ,	ABU100X69002A-2200-Criteria             ,	20220124,	2607,
13,	AMS078EN1001A       ,	2200,	UTC1000S    ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
14,	AMS078EN1001A       ,	2200,	UTC2000     ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
15,	AMS078EN1001A       ,	2200,	UTC3000     ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
16,	AMS078EN1001A       ,	2200,	UTC5000S    ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
17,	AMS078EN1001A       ,	2200,	MAXUM-PLUS  ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
18,	AMS078EN1001A       ,	2200,	MAXUM       ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
19,	AMS078EN1001A       ,	2200,	ICONN       ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
20,	AMS078EN1001A       ,	2200,	ICONN-PLUS  ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
21,	AMS078EN1001A       ,	2200,	RAPID       ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
22,	AAB084CC9002A       ,	2200,	UTC1000S    ,	20220212-A-AAB084CC9002A-2200-Criteria  ,	20220212,	20958,
23,	ABU153XT9005A       ,	2200,	ICONN       ,	ABU153XT9005A-2200-Criteria             ,	20220125,	1421,
24,	ANV0086A1007A       ,	2200,	MAXUM-PLUS  ,	ANV0086A1007A-2200-Criteria             ,	20210308,	164838,
25,	ANV0086A1007A       ,	2200,	MAXUM       ,	ANV0086A1007A-2200-Criteria             ,	20210308,	164838,
26,	AAW008YQ3004A       ,	2200,	ICONN       ,	20220208-D-AAW008YQ3004A-2200-Criteria  ,	20220208,	111316,
27,	ANI020YU1002B       ,	2200,	ICONN       ,	ANI020YU1002B-2200-Criteria             ,	20220127,	112859,
28,	AQW008YM2001A       ,	2200,	MAXUM       ,	AQW008YM2001A-2200-Criteria             ,	20201130,	203443,
29,	ABU008Y62009A       ,	2200,	MAXUM       ,	ABU008Y62009A-2200-Criteria             ,	20210315,	160051,
30,	AAB008YM2027A       ,	2200,	MAXUM-PLUS  ,	AAB008YM2027A-2200-Criteria             ,	20220125,	221659,
31,	AAB008YM2027A       ,	2200,	MAXUM       ,	AAB008YM2027A-2200-Criteria             ,	20220125,	221659,
32,	AAB008YM2027A       ,	2200,	ICONN-PLUS  ,	AAB008YM2027A-2200-Criteria             ,	20220125,	221659,
33,	AAB008YM2027A       ,	2200,	RAPID       ,	AAB008YM2027A-2200-Criteria             ,	20220125,	221659,
34,	AAB008YQ2039B       ,	2200,	MAXUM       ,	20220208-H-AAB008YQ2039B-2200-Criteria  ,	20220208,	182423,
35,	AAB008YQ2039B       ,	2200,	RAPID       ,	20220208-H-AAB008YQ2039B-2200-Criteria  ,	20220208,	182423,
36,	AQW008YM2004A       ,	2200,	MAXUM-PLUS  ,	AQW008YM2004A-2200-Criteria             ,	20210224,	93834,
37,	AAS008YQ2044A       ,	2200,	ICONN       ,	20220215-B-AAS008YQ2044A-2200-Criteria  ,	20220215,	173254,
38,	AAB008YQ2022A       ,	2200,	MAXUM-PLUS  ,	AAB008YQ2022A-2200-Criteria             ,	20220127,	93757,
39,	OI072AF1066A        ,	2200,	MAXUM-PLUS  ,	OI072AF1066A-2200-Criteria              ,	20210212,	104632,
40,	AAB008YQ2022A       ,	2200,	MAXUM       ,	AAB008YQ2022A-2200-Criteria             ,	20220127,	93757,
41,	AAB008YQ2011B       ,	2200,	RAPID       ,	AAB008YQ2011B-2200-Criteria             ,	20210318,	94834,
42,	ACD096EF2001A       ,	2200,	UTC1000S    ,	ACD096EF2001A-2200-Criteria             ,	20210211,	735,
43,	ACD096EF2001A       ,	2200,	UTC2000     ,	ACD096EF2001A-2200-Criteria             ,	20210211,	735,
44,	ACD096EF2001A       ,	2200,	UTC3000     ,	ACD096EF2001A-2200-Criteria             ,	20210211,	735,
45,	ACD096EF2001A       ,	2200,	MAXUM-PLUS  ,	ACD096EF2001A-2200-Criteria             ,	20210211,	735,
46,	AAW024MA5010B       ,	2200,	UTC1000S    ,	AAW024MA5010B-2200-Criteria             ,	20220127,	143901,
47,	ACD054TN1003A       ,	2200,	UTC1000S    ,	20220208-B-ACD054TN1003A-2200-Criteria  ,	20220209,	70605,
