ALL_CAN_RUN_MODELS,CAN_RUN_MODELS,PROCESS_TIME,all_part_no,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
,,,,0,0,N,,ERROR_WB7,MXIC,2040,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R21AW44,17,N,2040,SUBMATWAW096,,,MAT,,-1,,0008WAW065,10,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P51BWBG131,17,N,3720,AK4962ECBP-V1{FT1}{DSPP},,,WLCSP,,-1,,000IABW015,672,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P53BWBJ141,17,N,3720,AK4962ECBP-V1{FT1}{DSPP},,,WLCSP,,-1,,000IABW015,290,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P43BWGI121,17,N,3720,AK4962ECBP-V1{FT1}{DSPP},,,WLCSP,,-1,,000IABW015,960,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,R11BWAD131,17,N,3720,AK4962ECBP-V1{FT1}{DSPP},,,WLCSP,,-1,,000IABW015,1282,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,R13BWA1131,17,N,3720,AK4962ECBP-V1{FT1}{DSPP},,,WLCSP,,-1,,000IABW015,694,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P38BWUW261,17,N,3720,AK09915AUC0-E41{FT2}{FRM-PP},,,WLCSP,,-1,,000IABW020,6673,0.000000,ENG,WL010,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P23BWGD261,17,N,3720,AK09915AUC0-E41{FT2}{FRM-PP},,,WLCSP,,-1,,000IABW020,7526,0.000000,ENG,WL010,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P44BWA8251,17,N,3720,AK09915AUC0-E41{FT2}{FRM-PP},,,WLCSP,,-1,,000IABW020,1023,0.000000,ENG,WL010,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P33BWA411,17,N,3720,AK09912AUC0-B3{FT1}{DSPP},,,WLCSP,,-1,,000IABW031,10000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P33BWA4261,17,N,3720,AK09912AUC0-B3{FT1}{DSPP},,,WLCSP,,-1,,000IABW031,9216,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2040,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R22BWAA,17,N,2040,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,25,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2040,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R22BWAB,17,N,2040,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,25,0.000000,ENG,WL002,,,
