ALL_CAN_RUN_MODELS,CAN_RUN_MODELS,PROCESS_TIME,all_part_no,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
RAPID,RAPID,505.429687,A0803CB1212,62,115,N,6A008255,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVX303,1600,N,2150,PC51S2910L-00000-01959{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A186,0086ANV224,1517,75.000000,ANV0086A1106A,MBGA578,180.084396,,N2B09-3
RAPID,RAPID,507.761926,A0803CB1212,62,115,N,6A008255,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVX304,1600,N,2150,PC51S2910L-00000-01959{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A186,0086ANV224,1524,75.000000,ANV0086A1106A,MBGA578,180.084396,,N2B09-3
RAPID,RAPID,512.093229,A0803CB1212,62,115,N,6A008255,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVX301,1600,N,2150,PC51S2910L-00000-01959{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A186,0086ANV224,1537,75.000000,ANV0086A1106A,MBGA578,180.084396,,N2B09-3
RAPID,RAPID,506.429218,A0803CB1212,62,115,N,6A008255,,PHISON,2200,0.000000,N,Y,"Add queue time + -147.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(3130->3140)||Pass the station(3140), add cure time : 40||Add cure time + 40.000000 for cure station : 3140||Add queue time + 120.000000 for(3140->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R21NVX306,1600,Y,3130,PC51S2910L-00000-01959{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A186,0086ANV224,1520,208.000000,ANV0086A1106A,MBGA578,180.084396,,
RAPID,RAPID,498.099790,A0803CB1212,62,115,N,6A008255,,PHISON,2200,0.000000,N,Y,"Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 40.000000 for the reason : Lot is currently at cure station, sum up the cure time||Add queue time + 120.000000 for(3140->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R21NVX305,1600,N,3140,PC51S2910L-00000-01959{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A186,0086ANV224,1495,235.000000,ANV0086A1106A,MBGA578,180.084396,,
MAXUM,MAXUM,341.321119,A0803CB1198,4,106,N,DR008014,,EliteMT,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21ASAZ04,5760,N,2090,F50L4G41XBX1CL{LBNFA},1091G08PA4,A0803CB1198,VTLGA08J4U,BB814,1,008DR010,008DRAS008,5482,15.000000,AAS008DR1006A,BGA289,963.667297,4,BB814-1
MAXUM,MAXUM,346.924712,A0803CB1198,4,106,N,DR008014,,EliteMT,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21ASAZ03,5760,N,2090,F50L4G41XBX1CL{LBNFA},1091G08PA4,A0803CB1198,VTLGA08J4U,BB811,1,008DR010,008DRAS008,5572,15.000000,AAS008DR1006A,BGA289,963.667297,4,BB811-1
MAXUM,MAXUM,347.920907,A0803CB1198,4,106,N,DR008014,,EliteMT,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21ASAZ06,5760,N,2150,F50L4G41XBX1CL{LBNFA},1091G08PA4,A0803CB1198,VTLGA08J4U,,-1,008DR010,008DRAS008,5588,75.000000,AAS008DR1006A,BGA289,963.667297,4,N2B28-3
MAXUM,MAXUM,392.500608,A0803CB1198,4,106,N,DR008014,,EliteMT,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21ASAZ07,5760,N,2150,F50L4G41XBX1CL{LBNFA},1091G08PA4,A0803CB1198,VTLGA08J4U,,-1,008DR010,008DRAS008,6304,75.000000,AAS008DR1006A,BGA289,963.667297,4,N2B28-3
"MAXUM-PLUS,MAXUM,RAPID","MAXUM,MAXUM-PLUS,RAPID","310.541253,270.231403,244.669068",A0803CB0913,50,216,N,Y6008076,,WINBOND,2200,0.000000,N,Y,"Add queue time + -7685.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 150||Add cure time + 150.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R20ABB202,8320,Y,2070,RAG0530S0/DB/W25Q16FWUUIQ{AG},1091A07T21,A0803CB0913,DFN-08Y62D,,-1,008Y6076,008Y6AB028,5899,-7220.000000,AAB008Y62014A,QFNS482,"1139.751953,1309.766357,1446.607056",,
