bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time
AAW048TP1041B,AOK048TV1029A,5070.085780,BB211,"CWN,MC,CSC",R21AWBB19,R19OKB503,BB211_10,4866.085780
AOK048TV1029A,AAW048TP1041B,6079.826230,BB211,"CWN,MC,CSC",R19OKB503,R21AWAF34,BB211_11,5875.826230
ANV345XTG002A,AAW048TP1041B,2493.060556,BB212,"CWN,EU,SC,CSC",R18NVUF37,R21AWAF22,BB212_4,2163.060556
AAW048TP1041B,AAW048TP1008B,4452.788068,BB212,"MC,CSC",R21AWCF15,R21AWAB10,BB212_7,4278.788068
AAB024XJ6011A,AAW048TP1041B,409.070520,BB213,"CWN,EU,SC,CSC",R21ABFF01,R21AWCF20,BB213_2,79.070520
AAW048TP1041B,AMS096EC1002A,1447.873505,BB213,"CWN,SC,CSC",R21AWB548,R21MSCT03,BB213_4,1237.873505
ANV345XTG002A,AAW016D53011A,2788.263297,BB214,"CWN,EU,SC,CSC",R18NVUF01,R20AWE714,BB214_4,2458.263297
AAW016D53011A,AAW048TP1041B,3714.724171,BB214,"CWN,SC,CSC",R20AWE714,R21AWBB07,BB214_5,3504.724171
ABU024XJ8004A,AOK048TV1029A,2567.674667,BB216,"CWN,SC,CSC",R18VGBH03,R19OKB604,BB216_4,2357.674667
AOK048TV1029A,AAW048TP1041B,4383.155567,BB216,"CWN,MC,CSC",R19OKB601,R21AWB527,BB216_6,4179.155567
ANV345XTG002A,AAW016D53011A,3071.729275,BB217,"CWN,EU,SC,CSC",R18NVUF09,R21AWA910,BB217_3,2741.729275
AAW016D53011A,AOK048TV1029A,3998.865803,BB217,"CWN,SC,CSC",R21AWA910,R19OKB605,BB217_4,3788.865803
AOK048TV1029A,AAW048TP1008B,5008.606253,BB217,"CWN,MC,CSC",R19OKB605,R21AWAB13,BB217_5,4804.606253
ANV345XTG002A,AOK048TV1029A,3151.824394,BB219,"CWN,EU,SC,CSC",R18NVUF11,R19OKB602,BB219_5,2821.824394
ANV132X2C090A,ALW078C93001A,-1272.000000,BB220,"CWN,SC,CSC",R19NVVK02,R21LWA702,BB220_1,-1482.000000
ALW078C93001A,AAW016D53011A,3856.895267,BB220,"CWN,SC,CSC",R20LWA401,R21AWA512,BB220_4,3646.895267
AAW016D53011A,AAW048TP1041B,4901.329176,BB220,"CWN,SC,CSC",R21AWA512,R21AWB547,BB220_5,4691.329176
AAW048TP1041B,AAW016D53011A,5746.571680,BB220,"CWN,SC,CSC",R21AWB547,R21AWA903,BB220_6,5536.571680
AAW016D53011A,AOK048TV1029A,6780.870764,BB220,"CWN,SC,CSC",R21AWA903,R19OKB501,BB220_7,6570.870764
AOK048TV1029A,AAW016D53011A,7796.611214,BB220,"CWN,SC,CSC",R19OKB501,R20AWE704,BB220_8,7586.611214
AAW048TP1008B,AOK048TV1029A,3839.127746,BB222,"CWN,MC,CSC",R21AWA336,R19OKB502,BB222_6,3635.127746
ABU024XJ6003A,AAW016D53011A,3669.754835,BB224,"CWN,EU,SC,CSC",R21VGI201,R21AWA511,BB224_3,3339.754835
AOK048TV1029A,AAW016D53011A,3989.592285,BB226,"CWN,SC,CSC",R19OKB415,R20AWE708,BB226_7,3779.592285
AAW016D53011A,AAW048TP1041B,5056.322808,BB226,"CWN,SC,CSC",R20AWE708,R21AWB516,BB226_8,4846.322808
AAW048TP1008B,AAW048TP1041B,4962.153296,BB227,"MC,CSC",R21AWCE03,R21AWB522,BB227_7,4788.153296
AMS078C93001B,AOK048TV1029A,3306.424057,BB228,"CWN,SC,CSC",R20MSFN07,R19OKB413,BB228_4,3096.424057
AOK048TV1029A,AAW048TP1041B,4316.164507,BB228,"CWN,MC,CSC",R19OKB413,R21AWAF43,BB228_5,4112.164507
ALW078C93001A,AAW016D53011A,3962.728868,BB230,"CWN,SC,CSC",R20LWA403,R21AWA904,BB230_4,3752.728868
ANV345XTG002A,AAW048TP1041B,2991.292320,BB231,"CWN,EU,SC,CSC",R18NVUF10,R21AWCF16,BB231_5,2661.292320
AAW048TP1041B,AAW016D53011A,4116.455024,BB232,"CWN,SC,CSC",R21AWB504,R21AWA517,BB232_7,3906.455024
AAW016D53011A,AAW048TP1041B,5171.023757,BB232,"CWN,SC,CSC",R21AWA517,R21AWAF35,BB232_8,4961.023757
ANV345XTG002A,AAW016D53011A,2928.115360,BB233,"CWN,EU,SC,CSC",R18NVUF07,R21AWA913,BB233_5,2598.115360
AAW016D53011A,AAW048TP1041B,3850.522303,BB233,"CWN,SC,CSC",R21AWA913,R21AWAF11,BB233_6,3640.522303
AAW048TP1041B,AAW016D53011A,5331.007311,BB233,"CWN,SC,CSC",R21AWCF22,R20AWE710,BB233_8,5121.007311
AAW048TP1041B,AAW048TP1008B,4000.455024,BB234,"MC,CSC",R21AWB503,R21AWAB24,BB234_7,3826.455024
AAW048TP1008B,AAW016D53011A,4710.233771,BB234,"CWN,SC,CSC",R21AWAB24,R20AWE703,BB234_8,4500.233771
AAW016D53011A,AAW048TP1041B,5779.666914,BB234,"CWN,SC,CSC",R20AWE703,R21AWAF25,BB234_9,5569.666914
ANV345XTG002A,AAW048TP1041B,2600.059217,BB235,"CWN,EU,SC,CSC",R18NVUF08,R21AWBB12,BB235_4,2270.059217
AMS078EN1005A,ANV048TR2009A,-336.000000,BB444,"CWN,SC,CSC",R21MSBI01,R20NVW494,BB444_1,-546.000000
ANV048TR2009A,AMS096EC1002A,1104.204733,BB444,"CWN,SC,CSC",R20NVW494,R21MSAT04,BB444_2,894.204733
AMS096EC1002A,AMS048TW1050A,2672.647555,BB444,"CWN,SC,CSC",R21MSAT04,R21MSCF01,BB444_3,2462.647555
AMS048TW1050A,ABU063NW1003A,3286.834513,BB444,"CWN,SC,CSC",R21MSCF01,R21VGI804,BB444_4,3076.834513
ABU063NW1003A,ABU048MA7001A,3897.373490,BB444,"CWN,SC,CSC",R21VGI804,R21BUA404,BB444_5,3687.373490
ABU048MA7001A,AAW048TP1026E,5455.060330,BB444,"CWN,SC,CSC",R21BUA404,R21AWCG09,BB444_6,5245.060330
AAW048TP1026E,ABU048MA7001A,6054.472947,BB444,"CWN,SC,CSC",R21AWCG09,R21BUA403,BB444_7,5844.472947
ABU048MA7001A,ABU126CT2001B,7552.159787,BB444,"CWN,SC,CSC",R21BUA403,R21BUC809,BB444_8,7342.159787
AAW064MR1012A,AAB178NN2001A,-18331.983406,BB446,"MC,CSC",R18AWBV02,R19ABFS11,BB446_1,-18505.983406
AMS048TW1065A,AAW048TP1026E,1081.920156,BB450,"CWN,MC,CSC",R21MSC518,R21AWCI13,BB450_3,877.920156
AAW048TP1026E,AMS096EC1002A,1408.743941,BB450,"CWN,SC,CSC",R21AWCI13,R21MSAU01,BB450_4,1198.743941
AMS096EC1002A,AMS078C93001B,2967.483600,BB450,"CWN,SC,CSC",R21MSAU01,R21MSEG02,BB450_5,2757.483600
AMS078C93001B,ABU090NC8002B,4921.307136,BB450,"CWN,SC,CSC",R21MSEG02,R21BUA805,BB450_6,4711.307136
ABU090NC8002B,ALW078EP1001A,6476.273615,BB450,"CWN,SC,CSC",R21BUA805,R21LWAR03,BB450_7,6266.273615
AMS078EN1005A,AMS048TW1050A,517.000000,BB452,"CWN,EU,SC,CSC",R21MSA912,R21MSCF11,BB452_1,187.000000
AMS048TW1050A,AMS096EC1002A,1011.186958,BB452,"CWN,SC,CSC",R21MSCF11,R20MSKZ05,BB452_2,801.186958
AMS096EC1002A,AMS078C93001B,2567.743406,BB452,"CWN,SC,CSC",R20MSKZ05,R21MSEF01,BB452_3,2357.743406
AMS078C93001B,ABU048MA3001A,4521.566941,BB452,"CWN,SC,CSC",R21MSEF01,R21VGHG04,BB452_4,4311.566941
ABU048MA3001A,ABU054MF6001A,4951.437468,BB452,"CWN,SC,CSC",R21VGHG04,R21BUAV02,BB452_5,4741.437468
ABU054MF6001A,ABU048MA3001A,6299.197281,BB452,"CWN,SC,CSC",R21BUAV02,R21VGHG01,BB452_6,6089.197281
ABU048MA3001A,ABU048MA7001A,7760.111225,BB452,"MC,CSC",R21VGHG01,R21BUAF03,BB452_7,7586.111225
ABU048MA7001A,AAB024MAA010A,9223.617264,BB452,"SC,CSC",R21BUAF03,R21ABFM01,BB452_8,9043.617264
AAB024MAA010A,AAB084CC9001A,9748.701866,BB452,"CWN,SC,CSC",R21ABFM01,R21ABBH01,BB452_9,9538.701866
AMS048TW1065A,ANV048TR2009A,1074.183566,BB454,"CWN,MC,CSC",R21MSCB06,R20NVW4D1,BB454_3,870.183566
ANV048TR2009A,AMS096EC1002A,2178.388299,BB454,"CWN,SC,CSC",R20NVW4D1,R20MSK901,BB454_4,1968.388299
AMS096EC1002A,AMS078C93001B,5105.273944,BB454,"CWN,SC,CSC",R21MSAJ01,R21MSEF04,BB454_6,4895.273944
ABU096EA1003A,AAB178NN2001A,174.000000,BB456,"MC,CSC",,R19ABFS12,BB456_1,0.000000
ABU096EA1003A,ANV048TR2009A,174.000000,BB458,"MC,CSC",R20BUBW04,R20NVW412,BB458_1,0.000000
AMS078EN1005A,AAB178NN2001A,330.000000,BB459,"CWN,SC,CSC",R21MSA807,R19ABFS08,BB459_1,120.000000
AAB178NN2001A,AMS096EC1002A,1776.843040,BB459,"CWN,SC,CSC",R19ABFS08,R21MSB601,BB459_2,1566.843040
AMS048TW1065A,ANV048TR2009A,1054.183566,BB463,"CWN,MC,CSC",R21MSCB04,R20NVW481,BB463_3,850.183566
AMS048TW1065A,AMS096EC1002A,1272.183566,BB465,"CWN,SC,CSC",R21MSCB01,R20MSLC06,BB465_3,1062.183566
AMS078EN1005A,ANV048TR2009A,-391.000000,BB467,"MC,CSC",R21MSA608,R20NVW4I7,BB467_1,-565.000000
ANV048TR2009A,AAB024MAA010A,1104.204733,BB467,"CWN,SC,CSC",R20NVW4I7,R21ABGW04,BB467_2,894.204733
AAB024MAA010A,ABU090NC8002B,1393.998885,BB467,"CWN,SC,CSC",R21ABGW04,R21BUA802,BB467_3,1183.998885
ABU090NC8002B,AMS078C91003A,2948.965365,BB467,"CWN,SC,CSC",R21BUA802,R21MSDV01,BB467_4,2738.965365
AMS078C91003A,ABU048MA7001A,4585.930293,BB467,"CWN,SC,CSC",R21MSDV01,R21BUAG02,BB467_5,4375.930293
ABU048MA7001A,ABU126CT2001B,6083.199053,BB467,"CWN,SC,CSC",R21BUAG02,R21BUC810,BB467_6,5873.199053
ABU126CT2001B,AMS048TW1050A,7735.475524,BB467,"CWN,SC,CSC",R21BUC810,R21MSCF05,BB467_7,7525.475524
AMS048TW1050A,AAB024MAA010A,8349.662481,BB467,"CWN,SC,CSC",R21MSCF05,R21ABGW01,BB467_8,8139.662481
AAB024MAA010A,ANV048TR2009A,8873.724082,BB467,"CWN,SC,CSC",R21ABGW01,R20NVW4B5,BB467_9,8663.724082
AAB048TW2006A,AAW048TP1026E,1185.883379,BB468,"CWN,MC,CSC",R21ABI814,R21AWCH08,BB468_4,981.883379
AAW048TP1026E,AMS078C93001B,2018.042147,BB468,"CWN,SC,CSC",R21AWCG13,R21MSEG04,BB468_6,1808.042147
AMS048TW1065A,AMS096EC1002A,1235.183566,BB469,"CWN,SC,CSC",R21MSC517,R20MSL701,BB469_3,1025.183566
AMS096EC1002A,AMS078C91003A,2803.626389,BB469,"CWN,SC,CSC",R20MSL701,R21MSDV03,BB469_4,2593.626389
AMS078C91003A,AAW048TP1026E,4440.803694,BB469,"CWN,SC,CSC",R21MSDV03,R21AWCH02,BB469_5,4230.803694
AMS048TW1065A,AMS096EC1002A,1390.775349,BB472,"CWN,SC,CSC",R21MSCC06,R20MSLA08,BB472_4,1180.775349
AMS078EN1005A,AAW048TP1026E,188.000000,BB475,"CWN,SC,CSC",R21MSA903,R21AWCG05,BB475_1,-22.000000
AAW048TP1026E,AAB024MAA010A,787.412617,BB475,"CWN,SC,CSC",R21AWCG05,R21ABGZ01,BB475_2,577.412617
AAB024MAA010A,ABU048MA7001A,1225.618310,BB475,"SC,CSC",R21ABGZ01,R21BUA405,BB475_3,1045.618310
ABU048MA7001A,ABU090ND3001A,1878.579721,BB475,"CWN,SC,CSC",R21BUA405,R21BUAC01,BB475_4,1668.579721
ABU090ND3001A,AMS096EC3001B,2986.883343,BB475,"CWN,EU,SC,CSC",R21BUAC01,R21MSCL06,BB475_5,2656.883343
AMS096EC3001B,ABU084CC2001C,4670.470364,BB475,"CWN,SC,CSC",R21MSCL06,R21BUBJ01,BB475_6,4460.470364
