pkg_type,process_id,version,detail_id,remark,
	T,	153XT081       ,	 F,	S22000102,	A0803CB1224(KNS)                        ,
	T,	153XT119       ,	 C,	S22000102,	A0803CB1294(KNS)                        ,
	T,	020YU002       ,	 I,	S22000102,	A0803CB0826 (KNS)                       ,
	T,	020YU001       ,	 J,	S22000102,	A0803CB0826                             ,
	T,	008YK027       ,	 L,	S22000102,	A0803CB0784 (KNS)                       ,
	T,	020YU006       ,	 F,	S22000102,	A0803CB0826 (KNS)                       ,
	T,	078EN010       ,	 K,	S22000102,	A0801CB1169(UTC)                        ,
	T,	078EN010       ,	 K,	S22000102,	A0803CB1169(KNS)                        ,
	T,	012Y1002       ,	 F,	S22000102,	A0803CB0938 (KNS)                       ,
	T,	008YK046       ,	 E,	S22000102,	A0803CB1315(KNS)                        ,
	T,	0086A137       ,	 F,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A139       ,	 E,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A138       ,	 E,	S22000102,	A0803CB1212(KNS)                        ,
	T,	048TR112       ,	 B,	S22000102,	A0801CB1192(UTC)                        ,
	T,	048TR112       ,	 B,	S22000102,	A0803CB1192(KNS)                        ,
	T,	008Y6048       ,	 H,	S22000102,	A0803CB0926(KNS)                        ,
	T,	391KJ003       ,	 E,	S22000102,	A0803CB1221(KNS)                        ,
	T,	391KJ003       ,	 E,	S32000102,	A0803CB1221(KNS)                        ,
	T,	391KJ003       ,	 E,	S34000102,	A0803CB1221(KNS)                        ,
	T,	391KJ003       ,	 E,	S36000102,	A0803CB1221(KNS)                        ,
	T,	391KJ003       ,	 E,	S42000102,	A0803CB1221(KNS)                        ,
	T,	054TS017       ,	 F,	S22000102,	A0801CB0777                             ,
	T,	048TP199       ,	 I,	S22000102,	A0801CB1000(UTC)                        ,
	T,	048TP199       ,	 I,	S22000102,	A0803CB1000(KNS)                        ,
	T,	064MR019       ,	 F,	S22000102,	A0801CB0746                             ,
	T,	096EF044       ,	 C,	S22000102,	A0801CB1211(UTC)                        ,
	T,	096EF044       ,	 C,	S32000102,	A0801CB1205(UTC)                        ,
	T,	048TR104       ,	 C,	S22000102,	A0801CB1192(UTC)                        ,
	T,	010YK025       ,	 I,	S22000102,	A0803CB1315(KNS)                        ,
	T,	169XN010       ,	 B,	S22000102,	A0803CB1105(KNS)                        ,
	T,	169XN010       ,	 B,	S32000102,	A0803CB1105(KNS)                        ,
	T,	169XN010       ,	 B,	S34000102,	A0803CB1105(KNS)                        ,
	T,	0086A140       ,	 E,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A107       ,	 C,	S22000102,	A0803CB1212(KNS)                        ,
	T,	048TV269       ,	 F,	S22000102,	A0801CB0655(UTC)                        ,
	T,	048TV269       ,	 F,	S22000102,	A0803CB0655(KNS)                        ,
	T,	078EP009       ,	 A,	S22000102,	A0801CB1264(UTC)                        ,
	T,	078EP009       ,	 A,	S22000102,	A0803CB1264(KNS)                        ,
	T,	0445T009       ,	 C,	S22000102,	A0803CB1326(KNS)                        ,
	T,	0445T009       ,	 C,	S32000102,	A0803CB1326(KNS)                        ,
