process_id,Oper,master_desc,detail_desc,detail_id,remark,
	0008W044       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-700                                  ,
	0008W044       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-700                                  ,
	0008W044       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-700                                  ,
	0008W044       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1600                                    ,
	0008W044       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	S                                       ,
	0008W044       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W044       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W235       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	ESEC-2100                               ,
	0008W235       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	ESEC-2100                               ,
	0008W235       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	ESEC-2100                               ,
	0008W235       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	3200                                    ,
	0008W235       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008W235       ,	2150,	PTN no                                  ,	                                                  ,	R21500198,	05                                      ,
	0008W235       ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008W235       ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008W235       ,	2200,	Support Entity                          ,	Heat block                                        ,	S22000102,	                                        ,
	0008W235       ,	2200,	Support Entity                          ,	Capillary(KNS)                                    ,	S22000103,	FG085A-CD2911.5-06A                     ,
	0008W330       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2160                                    ,
	0008W330       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	0008W330       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W330       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W364       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800;DB-700                           ,
	0008W364       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800;DB-700                           ,
	0008W364       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800;DB-700                           ,
	0008W364       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	4320                                    ,
	0008W364       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	L                                       ,
	0008W364       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W364       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W375ENG    ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1280                                    ,
	0008W375ENG    ,	2051,	PTN No                                  ,	                                                  ,	R20510198,	15                                      ,
	0008W375ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W375ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W376ENG    ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1280                                    ,
	0008W376ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W376ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W599ENG    ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1200                                    ,
	0008W599ENG    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	I                                       ,
	0008W599ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W599ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W809       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1800                                    ,
	0008W809       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	J                                       ,
	0008W809       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W809       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W927       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	960                                     ,
	0008W927       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	M                                       ,
	0008W927       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W927       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W929       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1900                                    ,
	0008W929       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W929       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W999       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	ESEC-2100                               ,
	0008W999       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	ESEC-2100                               ,
	0008W999       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	ESEC-2100                               ,
	0008W999       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	4760                                    ,
	0008W999       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008W999       ,	2080,	PTN No                                  ,	                                                  ,	R20800698,	DV-026                                  ,
	0008W999       ,	2150,	PTN no                                  ,	                                                  ,	R21500198,	05                                      ,
	0008W999       ,	3150,	PTN no                                  ,	                                                  ,	R31500198,	05                                      ,
	0008W999       ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008W999       ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008W999       ,	2200,	Support Entity                          ,	Heat block                                        ,	S22000102,	                                        ,
	0008W999       ,	2200,	Support Entity                          ,	Capillary(KNS)                                    ,	S22000103,	SI-23066-283F12                         ,
	0008W999       ,	3200,	Support Entity                          ,	Heat block                                        ,	S32000102,	                                        ,
	0008W999       ,	3200,	Support Entity                          ,	Capillary(KNS)                                    ,	S32000104,	SI-23066-283F12                         ,
	0008WA109      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	950                                     ,
	0008WA109      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	I                                       ,
	0008WA109      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA109      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA178      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800                                  ,
	0008WA178      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800                                  ,
	0008WA178      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800                                  ,
	0008WA178      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	720                                     ,
	0008WA178      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	H                                       ,
