ALL_CAN_RUN_MODELS,CAN_RUN_MODELS,PROCESS_TIME,all_part_no,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
MAXUM,MAXUM,17.004531,A0803CB1212,62,87,N,6A008159,,Auton,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R18ZAD801,1600,N,2090,504A0000078-S1B{BIN22-250UM},1091G07PA4,A0803CB1212,uSD08AQV-C,BB802,1,0086A108,0086AZA013,35,15.000000,AZA0086A1007A,MBGA957,123.496498,,BB802-1
MAXUM,MAXUM,22.834656,A0803CB1212,62,87,N,6A008159,,Auton,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R18ZADC01,1600,N,2090,507A0000083-S1B{BIN22-250UM},1091G07PA4,A0803CB1212,uSD08AQV-C,BB802,1,0086A108,0086AZA013,47,15.000000,AZA0086A1007A,MBGA957,123.496498,,BB802-1
ICONN,ICONN,21.502981,A0803CB1212,62,87,N,6A008234,,Auton,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R18ZADE01,1600,N,2090,507A0000132-S3{BIN22-175UM},1091G07PA4,A0803CB1212,uSD08AQV-C,BBA15,1,0086A096,0086AZA040,47,15.000000,AZA0086A1001B,MBGA957,131.144608,,BBA15-1
ICONN,ICONN,205.879605,A0803CB1212,62,87,N,6A008234,,Auton,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R18ZADD01,1600,N,2090,507A0000132-S3{BIN22-175UM},1091G07PA4,A0803CB1212,uSD08AQV-C,BBA15,1,0086A096,0086AZA040,450,15.000000,AZA0086A1001B,MBGA957,131.144608,,BBA15-1
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","522.789999,598.389988",A0803CB1278,21,85,N,FG008013,,EliteMT,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ASA413,10080,N,2090,EN25Q32CB1HM{M68FA}{FT4},1091G08PA4,A0803CB1278,SOP-8G,BBD38,1,008FG013,008FGAS024,10080,15.000000,AAS008FG1011A,CON132,"1156.869873,1010.712097",,BBD38-1
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","522.789999,598.389988",A0803CB1278,21,85,N,FG008013,,EliteMT,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ASA410,10080,N,2090,EN25Q32CB1HM{M68FA}{FT4},1091G08PA4,A0803CB1278,SOP-8G,BBD36,1,008FG013,008FGAS024,10080,15.000000,AAS008FG1011A,CON132,"1156.869873,1010.712097",,BBD36-1
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","522.789999,598.389988",A0803CB1278,21,85,N,FG008013,,EliteMT,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ASA411,10080,N,2090,EN25Q32CB1HM{M68FA}{FT4},1091G08PA4,A0803CB1278,SOP-8G,BBD44,1,008FG013,008FGAS024,10080,15.000000,AAS008FG1011A,CON132,"1156.869873,1010.712097",,BBD44-1
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","53.212553,60.907552",A0803CB1278,21,85,N,FG008013,,EliteMT,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ASA415,10080,N,2150,EN25Q32CB1HM{M68FA}{FT4},1091G08PA4,A0803CB1278,SOP-8G,,-1,008FG013,008FGAS024,1026,75.000000,AAS008FG1011A,CON132,"1156.869873,1010.712097",,N2B29-3
RAPID,RAPID,117.463730,A0803CB1233,18,134,N,Y6008110,,MXIC,2200,0.000000,N,Y,"Add queue time + -1184.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 90||Add cure time + 90.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R19AWAT06,8320,Y,2070,6767Q-087U08ITAW99,1091A07T41,A0803CB1233,DFN-08Y62D,,-1,008Y6103,008Y6AW044,1767,-779.000000,AAW008Y62024A,QFNS243,902.576477,,
RAPID,RAPID,553.083326,A0803CB1233,18,134,N,Y6008110,,MXIC,2200,0.000000,N,Y,"Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 90.000000 for the reason : Lot is currently at cure station, sum up the cure time||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R19AWAT05,8320,N,2080,6767Q-087U08ITAW99,1091A07T41,A0803CB1233,DFN-08Y62D,,-1,008Y6103,008Y6AW044,8320,285.000000,AAW008Y62024A,QFNS243,902.576477,,
RAPID,RAPID,553.083326,A0803CB1233,18,134,N,Y6008110,,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19AWAT04,8320,N,2150,6767Q-087U08ITAW99,1091A07T41,A0803CB1233,DFN-08Y62D,,-1,008Y6103,008Y6AW044,8320,75.000000,AAW008Y62024A,QFNS243,902.576477,,
RAPID,RAPID,553.083326,A0803CB1233,18,134,N,Y6008110,,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19AWAT03,8320,N,2150,6767Q-087U08ITAW99,1091A07T41,A0803CB1233,DFN-08Y62D,,-1,008Y6103,008Y6AW044,8320,75.000000,AAW008Y62024A,QFNS243,902.576477,,
MAXUM,MAXUM,382.523333,A0803CB0913,50,164,N,Y6008104,,ISSI-VG,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19VGAC01,8320,N,2150,IS25LP032D-JTLE-TR{Rough},1091A07C41,A0803CB0913,DFN-08Y62D,,-1,008Y6100,008Y6VG008,8320,75.000000,ABU008Y62011A,QFNS282,1305.018433,,N2B08-1
MAXUM,MAXUM,288.547649,A0803CB0913,50,164,N,Y6008104,,ISSI-VG,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19VGAC02,8320,N,2150,IS25LP032D-JTLE-TR{Rough},1091A07C41,A0803CB0913,DFN-08Y62D,,-1,008Y6100,008Y6VG008,6276,75.000000,ABU008Y62011A,QFNS282,1305.018433,,N2B08-1
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","332.950001,321.509996",A0803CB0783,37,211,N,YB008026,,WINBOND,2200,0.000000,N,Y,Add queue time + -27534246.000000 for the reason : DA Queue Time||Add queue time + 180.000000 for(2070->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ABE824,6240,Y,2070,AAG0508D0/IG/W25Q64JVXGIQ,1091A07T21,A0803CB0783,DFN-08YB2G,,-1,008YB026,008YBAB011,6240,-27533991.000000,AAB008YB2005A,QFNS278,"1124.493164,1164.505005",,
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","332.950001,321.509996",A0803CB0783,37,211,N,YB008026,,WINBOND,2200,0.000000,N,Y,Add queue time + -27534246.000000 for the reason : DA Queue Time||Add queue time + 180.000000 for(2070->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ABE828,6240,Y,2070,AAG0508D0/IG/W25Q64JVXGIQ,1091A07T21,A0803CB0783,DFN-08YB2G,,-1,008YB026,008YBAB011,6240,-27533991.000000,AAB008YB2005A,QFNS278,"1124.493164,1164.505005",,
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","332.950001,321.509996",A0803CB0783,37,211,N,YB008026,,WINBOND,2200,0.000000,N,Y,Add queue time + -27534246.000000 for the reason : DA Queue Time||Add queue time + 180.000000 for(2070->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ABE832,6240,Y,2070,AAG0508D0/IG/W25Q64JVXGIQ,1091A07T21,A0803CB0783,DFN-08YB2G,,-1,008YB026,008YBAB011,6240,-27533991.000000,AAB008YB2005A,QFNS278,"1124.493164,1164.505005",,
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","332.950001,321.509996",A0803CB0783,37,211,N,YB008026,,WINBOND,2200,0.000000,N,Y,Add queue time + -27534246.000000 for the reason : DA Queue Time||Add queue time + 180.000000 for(2070->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ABE836,6240,Y,2070,AAG0508D0/IG/W25Q64JVXGIQ,1091A07T21,A0803CB0783,DFN-08YB2G,,-1,008YB026,008YBAB011,6240,-27533991.000000,AAB008YB2005A,QFNS278,"1124.493164,1164.505005",,
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","332.950001,321.509996",A0803CB0783,37,211,N,YB008026,,WINBOND,2200,0.000000,N,Y,Add queue time + -27534246.000000 for the reason : DA Queue Time||Add queue time + 180.000000 for(2070->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ABE829,6240,Y,2070,AAG0508D0/IG/W25Q64JVXGIQ,1091A07T21,A0803CB0783,DFN-08YB2G,,-1,008YB026,008YBAB011,6240,-27533991.000000,AAB008YB2005A,QFNS278,"1124.493164,1164.505005",,
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","332.950001,321.509996",A0803CB0783,37,211,N,YB008026,,WINBOND,2200,0.000000,N,Y,Add queue time + -27534246.000000 for the reason : DA Queue Time||Add queue time + 180.000000 for(2070->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ABE833,6240,Y,2070,AAG0508D0/IG/W25Q64JVXGIQ,1091A07T21,A0803CB0783,DFN-08YB2G,,-1,008YB026,008YBAB011,6240,-27533991.000000,AAB008YB2005A,QFNS278,"1124.493164,1164.505005",,
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","332.950001,321.509996",A0803CB0783,37,211,N,YB008026,,WINBOND,2200,0.000000,N,Y,Add queue time + -27534246.000000 for the reason : DA Queue Time||Add queue time + 180.000000 for(2070->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ABE837,6240,Y,2070,AAG0508D0/IG/W25Q64JVXGIQ,1091A07T21,A0803CB0783,DFN-08YB2G,,-1,008YB026,008YBAB011,6240,-27533991.000000,AAB008YB2005A,QFNS278,"1124.493164,1164.505005",,
"MAXUM-PLUS,MAXUM","MAXUM,MAXUM-PLUS","332.950001,321.509996",A0803CB0783,37,211,N,YB008026,,WINBOND,2200,0.000000,N,Y,Add queue time + -27534246.000000 for the reason : DA Queue Time||Add queue time + 180.000000 for(2070->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R19ABE822,6240,Y,2070,AAG0508D0/IG/W25Q64JVXGIQ,1091A07T21,A0803CB0783,DFN-08YB2G,,-1,008YB026,008YBAB011,6240,-27533991.000000,AAB008YB2005A,QFNS278,"1124.493164,1164.505005",,
