bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time
ABU096EA1001A,AOK048TV1029A,1443.457592,BB216,"CWN,SC,CSC",R19BUAC03,R18OKAA09,BB216_3,1233.457592
AOK048TV1029A,AAW048TP1041B,4870.419392,BB216,"CWN,MC,CSC",R18OKA914,R19AWC516,BB216_7,4666.419392
AAW048TP1041B,AOK048TV1029A,6344.904400,BB216,"CWN,MC,CSC",R19AWBI19,R18OKAB03,BB216_9,6140.904400
ABU096EA1001A,ABU024XJ8004A,1277.451016,BB218,"CWN,SC,CSC",R19BUAC01,R18VGBH01,BB218_2,1067.451016
ABU024XJ8004A,AAW048TP1041B,3018.186698,BB218,"CWN,SC,CSC",R18VGBH02,R19AWAJ32,BB218_4,2808.186698
AAW048TP1041B,AAB162KE1010A,5133.914210,BB218,"CWN,SC,CSC",R19AWBT24,R18ABC719,BB218_7,4923.914210
AAB162KE1010A,AAB162KE1006A,6325.667916,BB218,"MC,CSC",R18ABC719,R18ABBH08,BB218_8,6151.667916
AAB162KE1006A,AMS078EP1001A,8657.210091,BB218,"CWN,SC,CSC",R18ABBH08,R19MSFS04,BB218_9,8447.210091
AMS078EP1001A,AOK048TV1029A,10796.418009,BB218,"CWN,SC,CSC",R19MSFS01,R18OKAA05,BB218_11,10586.418009
AOK048TV1029A,AAW048TP1008B,14757.182858,BB218,"CWN,MC,CSC",R18OKAA07,R19AWAK34,BB218_16,14553.182858
AAW048TP1008B,AMS096EC3001B,15691.208407,BB218,"CWN,SC,CSC",R19AWAK34,R19MSEM04,BB218_17,15481.208407
ABU096EA1001A,AAW048TP1024D,1438.451016,BB224,"CWN,SC,CSC",R19BUAC02,R19AWD410,BB224_2,1228.451016
AAW048TP1024D,AOK048TV1029A,2323.601073,BB224,"CWN,MC,CSC",R19AWD516,R18OKAA08,BB224_4,2119.601073
AOK048TV1029A,AAW048TP1041B,3333.341523,BB224,"CWN,MC,CSC",R18OKAA08,R19AWBI14,BB224_5,3129.341523
AAW048TP1041B,AAB162KE1010A,6084.311539,BB224,"CWN,SC,CSC",R19AWAJ27,R18ABC720,BB224_9,5874.311539
AAB162KE1010A,AAB162KE1006A,8395.529947,BB224,"MC,CSC",R18ABC721,R18ABBH05,BB224_11,8221.529947
