ALL_CAN_RUN_MODELS,CAN_RUN_MODELS,PROCESS_TIME,all_part_no,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
,,,,0,0,N,,ERROR_WB7,WINBOND,2010,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AB45,0,N,2010,SUBMATWAB033,,,MAT,,-1,,0008WAB033,9,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,WINBOND,2010,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AB43,0,N,2010,SUBMATWAB033,,,MAT,,-1,,0008WAB033,1,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,WINBOND,2010,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AB46,0,N,2010,SUBMATWAB034,,,MAT,,-1,,0008WAB034,9,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,WINBOND,2010,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AB44,0,N,2010,SUBMATWAB034,,,MAT,,-1,,0008WAB034,1,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,MXIC,2040,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AW66A,0,Y,2040,SUBMATWAW058,,,MAT,,-1,,0008WAW056,12,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,MXIC,2040,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AW6I,0,N,2040,SUBMATWAW058,,,MAT,,-1,,0008WAW056,13,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,MXIC,2040,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AW66,0,Y,2040,SUBMATWAW058,,,MAT,,-1,,0008WAW056,13,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,MXIC,2040,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AW6IA,0,N,2040,SUBMATWAW058,,,MAT,,-1,,0008WAW056,12,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,MXIC,2020,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AW6J,0,N,2020,SUBMATWAW096,,,MAT,,-1,,0008WAW065,25,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,MXIC,2020,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AW5J,0,N,2020,SUBMATWAW096,,,MAT,,-1,,0008WAW065,3,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,MXIC,2020,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AW67,0,N,2020,SUBMATWAW096,,,MAT,,-1,,0008WAW065,25,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,MXIC,2040,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AW5M,0,N,2040,SUBMATWAW096,,,MAT,,-1,,0008WAW065,22,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_WB7,MXIC,2040,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19AW61,0,N,2040,SUBMATWAW096,,,MAT,,-1,,0008WAW065,25,0.000000,ENG,MAT4,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P43BWGI121,0,N,3720,AK4962ECBP-V1{FT1}{DSPP},,,WLCSP,,-1,,000IABW015,960,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,R11BWAD131,0,N,3720,AK4962ECBP-V1{FT1}{DSPP},,,WLCSP,,-1,,000IABW015,1282,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P53BWBJ141,0,N,3720,AK4962ECBP-V1{FT1}{DSPP},,,WLCSP,,-1,,000IABW015,290,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P51BWBG131,0,N,3720,AK4962ECBP-V1{FT1}{DSPP},,,WLCSP,,-1,,000IABW015,672,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,R13BWA1131,0,N,3720,AK4962ECBP-V1{FT1}{DSPP},,,WLCSP,,-1,,000IABW015,694,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P44BWA8251,0,N,3720,AK09915AUC0-E41{FT2}{FRM-PP},,,WLCSP,,-1,,000IABW020,1023,0.000000,ENG,WL010,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P23BWGD261,0,N,3720,AK09915AUC0-E41{FT2}{FRM-PP},,,WLCSP,,-1,,000IABW020,7526,0.000000,ENG,WL010,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P38BWUW261,0,N,3720,AK09915AUC0-E41{FT2}{FRM-PP},,,WLCSP,,-1,,000IABW020,6673,0.000000,ENG,WL010,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P33BWA411,0,N,3720,AK09912AUC0-B3{FT1}{DSPP},,,WLCSP,,-1,,000IABW031,10000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P33BWA4261,0,N,3720,AK09912AUC0-B3{FT1}{DSPP},,,WLCSP,,-1,,000IABW031,9216,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH01,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH05,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH09,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH13,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH02,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH06,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH10,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH14,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH03,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH07,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH11,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH04,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH08,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_WB7,AKM,2480,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R19BWDH12,0,N,2480,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,2000,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P45BWGP141,0,N,3720,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,151,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,R19BWBG141,0,N,3720,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,1371,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P38BWS1151,0,N,3720,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,983,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P40BWER151,0,N,3720,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,78,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P52BWD2151,0,N,3720,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,132,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,R09BWGT151,0,N,3720,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,442,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,P52BWD3141,0,N,3720,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,726,0.000000,ENG,WL002,,,
,,,,0,0,N,,ERROR_HOLD,AKM,3720,0.000000,Y,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,R19BWBF151,0,N,3720,AK4961ECBP-V2{FT1}{DSPP},,,WLCSP,,-1,,000IABW032,218,0.000000,ENG,WL002,,,
